统计期间,工业_产成品,工业_资产总计,工业_负债总计,工业_产品销售收入,工业生产者出厂价格指数,工业生产者出厂价格指数-生产资料,工业生产者出厂价格指数-生活资料,工业销售产值,工业增加值增长速度,固定资产投资完成额,固定资产投资完成额－第一产业,固定资产投资完成额－第二产业,固定资产投资完成额－第三产业,财政预算收入合计,各项税收,消费税,增值税,海关代征增值税：消费税,城市维护建设税,外贸企业出口退税,企业所得税,关 税,国家财政预算支出合计,基本建设支出,企业挖潜改造资金,科技三项费用,地质勘探费,工交商部门事业费,农林水气等部门支出,城市维护建设费,文教科学卫生事业费用,教育事业费,抚恤和社会福利救济费,社会保障支出,国防支出,行政管理费,公检法支出,武装警察部队经费,政策性补贴支出,其他各项支出,收支相抵,债务还本支出,宏观经济景气_预警指数,宏观经济景气_一致指数,宏观经济景气_先行指数,宏观经济景气_滞后指数,货币和准货币(M2),货币(M1),流通中的现金(M0),同比增长-货币和准货币(M2)(%),同比增长-货币(M1)(%),同比增长-流通中的现金(M0)(%),进出口总额,同比增长(%),进出口差额,居民消费价格指数,居民消费价格指数—城市,居民消费价格指数—农村,生产价格总指数,生产价格指数-种植业产品,生产价格指数-林业产品,生产价格指数-畜牧业产品,生产价格指数-渔业产品,企业家信心指数,企业景气指数,进出口总值,进口总值,出口总值,累计同期增长-进口(%),累计同期增长-出口(%),进口总值-初级产品,进口总值-工业制品,出口总值-初级产品,出口总值-工业制品,全社会固定资产投资-城镇,同比增长-城镇(%),货运量合计,货物周转量合计,客运量合计,旅客周转量合计,沿海主要港口货物吞吐量,沿海主要港口外贸货物吞吐量,民航总周转量,消费者预期指数,消费者满意指数,消费者信心指数
1978Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.78,19.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.51,17.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.35,18.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.95,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.32,21.9,,0.65,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.47,20.87,,9.34,16.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.12,22.56,,14.11,19.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.94,26.77,,24.42,26.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.39,26.15,,15.68,19.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,24.33,,20.67,16.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.18,27.44,,24.17,21.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.57,34.62,,23.04,29.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.91,32.56,,33.73,24.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.78,30.64,,32.01,25.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.34,33.32,,28.81,21.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.66,39.63,,24.38,14.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.97,37.79,,21.77,16.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.74,35.25,,20.78,15.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.29,37.74,,17.91,13.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.51,43.91,,15.19,10.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.58,43.33,,22.69,14.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.51,42.2,,26.01,19.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.22,46.73,,26.74,23.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.5,52.98,,14.85,20.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.57,51.12,,7.26,17.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
